name_in_data,alternate_name
Dhaka (Dacca),Dhaka
"Mirpur, Dhaka",Dhaka
"Bengaluru, Bangalore",Bengaluru
Chennai (Madras),Chennai
Dehra Dun,Dehradun
Hyderabad (Deccan),Hyderabad
Jalandhar (Jullundur),Jalandhar
"Khandheri, Rajkot",Rajkot
"Mohali, Chandigarh",Chandigarh
Mumbai (Bombay),Mumbai
Faisalabad (Lyallpur),Faisalabad
Gujwranwala,Gujranwala
Hyderabad (Sind),Hyderabad
"Pallekele, Kandy",Kandy
